Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020305_210018.FR,0.0,293.0998,13.513083,0,0,ART_2020305_211018.FR,6.235935
ART_2020305_211018.FR,0.0,282.6615,12.302098,0,0,ART_2020305_212018.FR,5.127115
ART_2020305_212018.FR,0.0,176.11403,10.990786,0,0,ART_2020305_213018.FR,3.701109
ART_2020305_213018.FR,0.0,156.5279,9.790223,0,7,ART_2020305_214018.FR,3.518489
ART_2020305_214018.FR,0.0,176.30876,8.527431,0,23,ART_2020305_215018.FR,4.7610717
ART_2020305_215018.FR,0.0,207.47307,6.8497953,0,32,ART_2020305_220018.FR,4.120736
ART_2020305_220018.FR,0.0,176.64389,5.2885537,0,39,ART_2020305_221018.FR,4.364304
ART_2020305_221018.FR,0.0,197.23714,3.632187,0,44,ART_2020305_222018.FR,5.152012
ART_2020305_222018.FR,0.0,158.68152,1.8175217,0,50,ART_2020305_223018.FR,5.7109036
ART_2020305_223018.FR,0.0,166.35681,0.31736717,0,54,ART_2020305_224018.FR,2.44534
ART_2020306_083018.FR,0.0,0.0,0.0,70,76,ART_2020306_084018.FR,9.622952
ART_2020306_084018.FR,0.0,243.97392,1.4750158,0,54,ART_2020306_085018.FR,15.235208
ART_2020306_085018.FR,0.0,241.64247,5.312566,0,49,ART_2020306_090018.FR,18.812761
ART_2020306_090018.FR,0.0,248.2258,11.062111,0,44,ART_2020306_091018.FR,16.638872
ART_2020306_091018.FR,0.0,232.69547,15.511682,0,38,ART_2020306_092018.FR,13.654159
ART_2020306_092018.FR,0.0,216.74887,18.171446,0,31,ART_2020306_093018.FR,10.714224
ART_2020306_093018.FR,0.0,197.62053,19.054989,0,22,ART_2020306_094018.FR,9.899023
ART_2020306_094018.FR,0.0,189.63991,19.61511,0,4,ART_2020306_095018.FR,9.428254
ART_2020306_095018.FR,0.0,177.22302,19.945253,0,0,ART_2020306_100018.FR,8.941116
ART_2020306_100018.FR,0.0,161.70503,20.046246,0,0,ART_2020306_101018.FR,8.585538
ART_2020306_101018.FR,0.0,146.61737,19.863998,0,0,ART_2020306_102018.FR,8.440062
ART_2020306_102018.FR,2.4475536,146.0256,19.57286,0,0,ART_2020306_103018.FR,8.271021
