timestamp,0min,10min,20min,30min,40min,50min,60min,70min,80min,90min,100min,110min,120min,130min,140min,150min,160min,170min,180min,190min,200min,210min,220min,230min,240min,250min,260min,270min,280min,290min,300min
ART_2020001_073021.FR,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_074021.FR,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_075021.FR,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_080021.FR,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_081021.FR,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_082021.FR,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ART_2020001_083021.FR,0.0,0.9157259172284598,0.9742918527663296,0.9866379446599676,0.9872731748659291,0.9932217073474915,0.9939036388466491,0.9935258290844707,0.9930137077739882,0.9925293375004877,0.9920333248142643,0.9916166285188972,0.99132975583202,0.9910788595981611,0.9907466934964974,0.9903643834356097,0.9899770071447909,0.9896540985819298,0.9894572712179007,0.9892599179122195,0.9891604788103153,0.9892396316399988,0.989376722870382,0.9896169407460195,0.9899472330497626,0.990234899483946,0.9904860497468794,0.990831356633967,0.9911215272230123,0.9913882842509711,0.991711379860207
ART_2020001_084021.FR,0.0,0.7510488805785347,0.869691988567496,0.9244861957206476,0.9364410563936942,0.9417003891587308,0.9378652611520878,0.9329029843579864,0.9283045170244185,0.9242966343998132,0.9207363751983816,0.9178371700723751,0.9151951275292305,0.9128891544752313,0.9105596728691021,0.908234002535128,0.9063066063264256,0.9048862164229611,0.9033278133500958,0.9022204996060057,0.9018749386315333,0.9019024503747465,0.9024331541548088,0.9036964453422567,0.905373128753344,0.9072984320865164,0.9095437320596977,0.9119743653662582,0.9143579722862712,0.9167695765938145,0.9195099533954268
ART_2020001_085021.FR,0.0,0.5842089970646003,0.791096080254045,0.8384359212549619,0.8364584284608706,0.8292211126624361,0.8189389304141491,0.8096729130824345,0.8018003440014263,0.7947014806364318,0.7886238772974022,0.7832567794765366,0.779250035780305,0.7754049998994368,0.7718033041387725,0.7692026857622872,0.7674267280481842,0.7647419277701925,0.7631430421531434,0.7630077563285043,0.7635107373118131,0.7649207816027191,0.7677419238767363,0.7710936531814911,0.7739186959253663,0.7774151089916692,0.780973605077707,0.7844080600086158,0.7880659074357588,0.7924879180053749,0.7961853937263225
ART_2020001_090021.FR,0.0,0.6435646923292805,0.7370714441308324,0.7336276862618284,0.7231378236430835,0.71370765671652,0.7057924982353797,0.699514157415769,0.6942683952352806,0.6905195851806795,0.6875068340262275,0.6862651352685133,0.6850975149710838,0.6843058821044065,0.6845981086474187,0.6854813741310332,0.6842285512098603,0.6836472044033938,0.6848956543009665,0.6863836136692365,0.6882353659159222,0.691280168047451,0.6945121546430086,0.6964700073361669,0.6986944657317467,0.7004605128595279,0.7006547849975577,0.6997739805455235,0.6998989064235196,0.7018313990182738,0.7050328584275669
ART_2020001_091021.FR,0.0,0.6006095156962872,0.620710477481903,0.6139208787470111,0.608957449907997,0.607687498156155,0.6069619202892899,0.6099544943511037,0.6219307110564877,0.631932200575993,0.6432867370457472,0.6525936039145365,0.663156793374081,0.6746513854083915,0.6867596839224587,0.6930383497706755,0.6952820204360436,0.6980382115126996,0.6987786363506013,0.696696750908803,0.6924917268208091,0.688328845396984,0.6823735748431002,0.6762779512687609,0.6684779718996922,0.6582098816210956,0.6471859488225191,0.6372820551738366,0.6321832637099545,0.6291757601917327,0.629248173729834
ART_2020001_092021.FR,0.0,0.472863822347064,0.5494669305882186,0.6186635374174848,0.6843428918101369,0.752263468054508,0.8206205644776864,0.8835794003509875,0.946723511623933,1.0105467650248656,1.0662189547733203,1.12064853501021,1.1714450529798939,1.209278564343734,1.2367804298800378,1.2454264779022897,1.2478274947071823,1.2448019379877622,1.2306973103198544,1.2067465947823872,1.1816385946761656,1.1543046395534624,1.1180920763335205,1.0849607417010252,1.0559442494235645,1.026242567366822,0.9957043987942524,0.966055628358097,0.9392248341098225,0.9117190088175524,0.8853118410010772
ART_2020001_093021.FR,0.0,0.33494669334164484,0.4653638045266531,0.5757583867134167,0.6736185605534848,0.764073100486376,0.842060494680754,0.9140775350165858,0.9860927423707114,1.0475049410794297,1.1042308571021875,1.1578701754257883,1.1964610600666183,1.2167898985113523,1.223333862207033,1.2204173121149444,1.21480090466082,1.2031286150313392,1.1829413041835803,1.1579897630920868,1.1301414846143525,1.0989400688210256,1.0687678515942085,1.0429485704465837,1.017466214470602,0.9909157355231708,0.9641702538949436,0.9416023203044431,0.9182163207920755,0.8961289289301918,0.8804829776818612
ART_2020001_094021.FR,0.0,0.3016695736491871,0.43312955615080484,0.5395052005863995,0.6302916588758707,0.708067421815904,0.7735142593334919,0.837679336050449,0.8904712031996808,0.9369220403472719,0.9807435886216789,1.0145579798011992,1.0377246623299625,1.0472806471753244,1.0489740146388222,1.0442750228079538,1.0353180769664372,1.0192427146078362,0.9988217345993232,0.9735280058302656,0.942713872887064,0.9143595508886175,0.8925808401414254,0.874135698060376,0.8571065155107241,0.8431355336109057,0.828800195803085,0.8139973800981587,0.8031792708585885,0.7955545878062323,0.790178911401568
ART_2020001_095021.FR,0.0,0.30667568612490814,0.4397331787834748,0.547096879548493,0.6325810696895178,0.7060225250371922,0.7734292691090859,0.8307197405874371,0.8812503944785187,0.9274589709393134,0.9599755418717385,0.9762251117348008,0.9784858344646317,0.9754941561113298,0.9679340461312262,0.956456674814775,0.941809996701731,0.9256284868564619,0.9055232559366229,0.8806109722418058,0.8621520826877179,0.8485669442474919,0.8327716102241177,0.818840714170339,0.8073192933925287,0.79939742326674,0.7879582900894198,0.7781366221364777,0.771958033087587,0.7691516489436616,0.7665209277398133
ART_2020001_100021.FR,0.0,0.3040016081694661,0.43162974807544435,0.5263256713060855,0.605186530656841,0.6767475084166327,0.7345427975345594,0.7855323191795388,0.8326776224760389,0.8702022814344883,0.8920016035551712,0.8976496783007505,0.8969698662099932,0.891526642338221,0.882039955895034,0.870239161811753,0.8578832848000708,0.8417104505801883,0.8238521558438957,0.809690199386673,0.8008724017467839,0.7905734830791631,0.7818173123236264,0.7750002864248097,0.768842824534243,0.7616837056106387,0.7563270537830327,0.7537281491836765,0.7550640268710958,0.7553977417058756,0.7548889387183133
ART_2020001_101021.FR,0.0,0.31129312156620176,0.43330202249765454,0.5240680554379169,0.5993359597792716,0.6605986087678845,0.7117863770073855,0.7558650203354376,0.7904067099661215,0.8089614942696088,0.8141753036960034,0.81525769930093,0.812753088897445,0.8082022655599054,0.801283963332735,0.7904958092299003,0.7759994372540296,0.758316465458108,0.7465418234298818,0.7404164810215434,0.7340120133685679,0.7283597631974137,0.7233114256537889,0.7186261363019958,0.7166309839595436,0.7164394655404526,0.7171865575530538,0.7205247851560279,0.7220291853638195,0.7224219168481827,0.723382148799597
ART_2020001_102021.FR,0.0,0.3081670594366198,0.43153427678737954,0.5203444634006573,0.5862757182029348,0.6400805807927775,0.685312719034574,0.7196946369557166,0.7383500405228278,0.7464763927973814,0.7498574201946141,0.7510830996853588,0.7514639999115384,0.7483529671044347,0.7427375640696072,0.7334994845025217,0.7222407748487287,0.7143602549960504,0.7078346886440198,0.7007115993644429,0.6970452467544559,0.6954238699280906,0.6936695716513189,0.6915349756783582,0.6908596716896108,0.6925908779082705,0.6958530445169052,0.6981020884491198,0.6982466429439025,0.696969765072705,0.6958677883252395
